model,h097,h100,h103,h106,h109,h112,h114,h043,h044,h045,h046,h047,h048,h049,h050,h051,h052,h053,h054,h055,h056,h057,h058,h059,h060,h061,h062,h063,h064,h065,h066,h067,h068,h069,h070,h071,h072,h073,h074,h075,h076,h077,h078,h079,h080,h081,h082,h083,h084,h085,h086,h087,h088,h089,h090,h091,h092,h093,h094,h095,h096,h098,h099,h101,h102,h104,h105,h107,h108,h110,h111,h112_114_max_balanced_0_10_50,h112_114_small_0_10_50,h113,h97_114_max_balanced_0_10_50,h97_114_small_0_10_50,s043,s044,s045,s046,s047,s048,s049,s050,s051,s052,s053,s054,s055,s056,s057,s058,s059,s060,s061,s062,s063,s064,s065,s066,s067,s068,s069,s070,s071,s072,s073,s074,s075,s076,s077,s078,s079,s080,s081,s082,s083,s084,s085,s086,s087,s088,s089,s090,s091,s092,s093,s094,s095,s096,s097,s098,s099,s100,s101,s102,s103,s104,s105,s106,s107,s108,s109,s110,s111,s112,s113,s114,average
transformer_e300_2_d3_10_l128_glove_trainable_m_/r_/transformer_e300_2_d3_10_l128_glove_trainable__max_balanced_0_1_1_new,0.5960291734197731,0.5496618013527946,0.6294701986754967,0.7927199191102123,0.7452966714905933,0.8271914132379249,0.7187807276302851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6941642721310115
transformer_e300_2_d3_10_l128_glove_not_trainable_m_/r_/transformer_e300_2_d3_10_l128_glove_not_trainable__max_balanced_0_1_1_new,0.4700162074554295,0.49804200783196867,0.6913907284768211,0.6670037074486013,0.6548480463096961,0.695169946332737,0.6130776794493609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.612792617614945
transformer_e300_2_d3_10_l128_glove840_trainable_m_/r_/transformer_e300_2_d3_10_l128_glove840_trainable__max_balanced_0_1_1_new,0.5988654781199352,0.5404058383766465,0.6582781456953642,0.7182339063026626,0.7206946454413893,0.8035778175313059,0.7728613569321534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6875595983427795
transformer_e300_2_d3_10_l128_glove840_not_trainable_m_/r_/transformer_e300_2_d3_10_l128_glove840_not_trainable__max_balanced_0_1_1_new,0.6280388978930308,0.5329298682805269,0.578476821192053,0.6673407482305359,0.6740231548480463,0.7087656529516995,0.6592920353982301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6355524541134461
transformer_e256_2_d3_10_l128_m_/r_/transformer_e256_2_d3_10_l128__max_balanced_0_1_1_new,0.6122366288492707,0.724813100747597,0.706953642384106,0.7445230872935625,0.8060781476121563,0.774597495527728,0.8087512291052114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7397076187885189
transformer_e200_2_d3_10_l128_m_/r_/transformer_e200_2_d3_10_l128__max_balanced_0_1_1_new,0.7009724473257699,0.652189391242435,0.6254966887417218,0.7829457364341085,0.7778581765557163,0.8479427549194991,0.8131760078662733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7429401718693606
transformer_e200_2_d3_10_l128_glove_trainable_m_/r_/transformer_e200_2_d3_10_l128_glove_trainable__max_balanced_0_1_1_new,0.39222042139384117,0.6852972588109647,0.7791390728476821,0.6922817660936973,0.7832850940665702,0.8021466905187835,0.7128810226155359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6924644751924393
transformer_e200_2_d3_10_l128_glove_not_trainable_m_/r_/transformer_e200_2_d3_10_l128_glove_not_trainable__max_balanced_0_1_1_new,0.48338735818476497,0.6945532217871129,0.6195364238410596,0.5942028985507246,0.6866859623733719,0.6207513416815742,0.6263520157325467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6179241745930221
transformer_e128_2_nd_l128_m_/r_/transformer_e128_2_nd_l128__max_balanced_0_1_1_new,0.5976499189627229,0.5888216447134211,0.8152317880794702,0.7856420626895855,0.7568740955137482,0.7806797853309482,0.7576204523107178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7260742496572306
transformer_e128_2_d3_10_l64_m_/r_/transformer_e128_2_d3_10_l64__max_balanced_0_1_1_new,0.7755267423014587,0.5998576005695977,0.7609271523178808,0.7566565554432086,0.7206946454413893,0.8057245080500894,0.823992133726647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7490541911214673
