model,h097,h100,h103,h106,h109,h112,h114,h043,h044,h045,h046,h047,h048,h049,h050,h051,h052,h053,h054,h055,h056,h057,h058,h059,h060,h061,h062,h063,h064,h065,h066,h067,h068,h069,h070,h071,h072,h073,h074,h075,h076,h077,h078,h079,h080,h081,h082,h083,h084,h085,h086,h087,h088,h089,h090,h091,h092,h093,h094,h095,h096,h098,h099,h101,h102,h104,h105,h107,h108,h110,h111,h112_114_max_balanced_0_10_50,h112_114_small_0_10_50,h113,h97_114_max_balanced_0_10_50,h97_114_small_0_10_50,s043,s044,s045,s046,s047,s048,s049,s050,s051,s052,s053,s054,s055,s056,s057,s058,s059,s060,s061,s062,s063,s064,s065,s066,s067,s068,s069,s070,s071,s072,s073,s074,s075,s076,s077,s078,s079,s080,s081,s082,s083,s084,s085,s086,s087,s088,s089,s090,s091,s092,s093,s094,s095,s096,s097,s098,s099,s100,s101,s102,s103,s104,s105,s106,s107,s108,s109,s110,s111,s112,s113,s114,average
transformer_e256_2_d3_10_l128_m_/r_/transformer_e256_2_d3_10_l128__max_balanced_0_1_1_new,0.6513371150729336,0.676931292274831,0.7198675496688741,0.7264914054600606,0.7727930535455861,0.8026833631484794,0.7804818092428711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7329407983448052
transformer_e200_2_d3_10_l128_m_/r_/transformer_e200_2_d3_10_l128__max_balanced_0_1_1_new,0.6458670988654781,0.6749733001067996,0.7104304635761589,0.7231209976407146,0.7809334298118669,0.7881932021466905,0.7863815142576205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7299857152007613
transformer_e200_2_d3_10_l128_glove_trainable_m_/r_/transformer_e200_2_d3_10_l128_glove_trainable__max_balanced_0_1_1_new,0.6023095623987034,0.6589533641865433,0.7016556291390729,0.7199191102123357,0.7648335745296672,0.781216457960644,0.7689282202556539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7139737026689457
transformer_e200_2_d3_10_l128_glove_not_trainable_m_/r_/transformer_e200_2_d3_10_l128_glove_not_trainable__max_balanced_0_1_1_new,0.5757698541329012,0.6096475614097544,0.6466887417218543,0.6275699359622514,0.7083936324167872,0.717531305903399,0.6887905604719764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6534845131455606
transformer_e128_2_nd_l128_m_/r_/transformer_e128_2_nd_l128__max_balanced_0_1_1_new,0.6588330632090762,0.6820932716269135,0.7193708609271523,0.7234580384226491,0.7765918958031838,0.8005366726296959,0.7876106194690266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7354992031553852
transformer_e128_2_d3_10_l64_m_/r_/transformer_e128_2_d3_10_l64__max_balanced_0_1_1_new,0.6361426256077796,0.6746173015307939,0.720364238410596,0.7339063026626221,0.7765918958031838,0.7983899821109124,0.7866273352999017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7323770973465414
transformer_e128_2_d3_10_l32_m_/r_/transformer_e128_2_d3_10_l32__max_balanced_0_1_1_new,0.5,0.5,0.5084437086092716,0.7278395685877991,0.7729739507959479,0.7855098389982111,0.7802359882005899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6535718650274027
transformer_e128_2_d3_10_l16_m_/r_/transformer_e128_2_d3_10_l16__max_balanced_0_1_1_new,0.5,0.5,0.5,0.7251432423323222,0.7736975397973951,0.7844364937388193,0.775811209439528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6512983550440092
transformer_e100_2_d3_10_l128_m_/r_/transformer_e100_2_d3_10_l128__max_balanced_0_1_1_new,0.6491085899513777,0.6783552865788537,0.7140728476821192,0.7163801820020222,0.7812952243125905,0.8019677996422182,0.7851524090462143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.732333191316485
transformer_e100_2_d3_10_l128_glove_trainable_m_/r_/transformer_e100_2_d3_10_l128_glove_trainable__max_balanced_0_1_1_new,0.6051458670988655,0.6516553933784265,0.7009933774834437,0.716211661611055,0.7733357452966715,0.7699463327370304,0.7785152409046214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7136862312157305
