model,h097,h100,h103,h106,h109,h112,h114,h043,h044,h045,h046,h047,h048,h049,h050,h051,h052,h053,h054,h055,h056,h057,h058,h059,h060,h061,h062,h063,h064,h065,h066,h067,h068,h069,h070,h071,h072,h073,h074,h075,h076,h077,h078,h079,h080,h081,h082,h083,h084,h085,h086,h087,h088,h089,h090,h091,h092,h093,h094,h095,h096,h098,h099,h101,h102,h104,h105,h107,h108,h110,h111,h112_114_max_balanced_0_10_50,h112_114_small_0_10_50,h113,h97_114_max_balanced_0_10_50,h97_114_small_0_10_50,s043,s044,s045,s046,s047,s048,s049,s050,s051,s052,s053,s054,s055,s056,s057,s058,s059,s060,s061,s062,s063,s064,s065,s066,s067,s068,s069,s070,s071,s072,s073,s074,s075,s076,s077,s078,s079,s080,s081,s082,s083,s084,s085,s086,s087,s088,s089,s090,s091,s092,s093,s094,s095,s096,s097,s098,s099,s100,s101,s102,s103,s104,s105,s106,s107,s108,s109,s110,s111,s112,s113,s114,average
lda_6-3_m_/r_/lda_6-3__bayram_1_1_new,0.538,0.538,0.6,0.528,0.638,0.702,0.652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5994285714285714
lda_6-3_m_/r_/lda_6-3__3gram_max_balanced_0_new,0.523095623987034,0.5525097899608401,0.5152317880794702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5302790673424481
knn_tfidf_m_/r_/knn_tfidf__bayram_new,0.646,0.666,0.76,0.73,0.788,0.816,0.838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7491428571428571
knn_m_/r_/knn_r__,0.632,0.782,0.684,0.604,0.792,0.742,0.754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7128571428571429
knn_m_/r_/knn__bayram_new,0.748,0.782,0.784,0.72,0.792,0.822,0.776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7748571428571428
knn_m_/r_/knn__bayram_3_7_new,0.754,0.782,0.792,0.72,0.814,0.814,0.792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7811428571428571
knn_m_/r_/knn__bayram_1_1_new,0.77,0.764,0.79,0.724,0.81,0.828,0.792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7825714285714286
knn_m_/r_/knn__3gram_max_balanced_0_new,0.7483792544570502,0.7867568529725881,0.8145695364238411,0.788675429726997,0.8346599131693199,0.8647584973166369,0.852015732546706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8128307452304485
knn_m_/r_/knn__2gram_max_balanced_0_new,0.7641815235008104,0.7853328586685653,0.8105960264900662,0.782608695652174,0.8346599131693199,0.881216457960644,0.8480825958702065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8152397244731123
cnn_m_/r_/cnn__bayram_new,0.574,0.244,0.504,1.0,0.776,0.522,0.218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5482857142857143
cnn_m_/r_/cnn__bayram_1_1_new,0.756,0.364,0.626,0.54,0.784,0.608,0.528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6008571428571429
cnn_32_5_m_/r_/cnn_32_5__bayram_1_1_new,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15
cnn_128_7_e128_s1_m_/r_/cnn_128_7_e128_s1__bayram_1_1_new,0.68,0.614,0.7,0.66,0.81,0.674,0.786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7034285714285714
cnn3_avg_drop_128_7_l64_s1_d4_5_e300_glove840_trainable_m_/r_/cnn3_avg_drop_128_7_l64_s1_d4_5_e300_glove840_trainable__max_balanced_0_1_1_new,0.6584278768233387,0.7881808472766109,0.7062913907284768,0.6717222783956859,0.8017366136034733,0.7699463327370304,0.8043264503441495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7429473985583951
cnn3_avg_drop_128_7_l64_s1_d4_30_e300_glove840_trainable_m_/r_/cnn3_avg_drop_128_7_l64_s1_d4_30_e300_glove840_trainable__max_balanced_0_1_1_new,0.6511345218800648,0.7347810608757565,0.7155629139072848,0.6926188068756319,0.8086107091172214,0.7767441860465116,0.7477876106194691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7324628299031344
cnn3_avg_drop_128_7_l64_s1_d4_20_e300_glove840_trainable_m_/r_/cnn3_avg_drop_128_7_l64_s1_d4_20_e300_glove840_trainable__max_balanced_0_1_1_new,0.7086709886547812,0.6895692417230331,0.723841059602649,0.7384563532187395,0.7912445730824892,0.8146690518783543,0.7831858407079646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.749948158409716
cnn3_avg_drop_128_7_l64_s1_d4_10_e300_glove840_trainable_m_/r_/cnn3_avg_drop_128_7_l64_s1_d4_10_e300_glove840_trainable__max_balanced_0_1_1_new,0.6231766612641815,0.7532929868280527,0.6387417218543047,0.7202561509942703,0.8075253256150506,0.7914132379248658,0.7586037364798427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7275728315657954
cnn3_avg_drop_128_7_l256_s1_d4_5_e300_glove840_trainable_m_/r_/cnn3_avg_drop_128_7_l256_s1_d4_5_e300_glove840_trainable__max_balanced_0_1_1_new,0.692868719611021,0.7760768956924172,0.6923841059602649,0.7492416582406471,0.8162083936324168,0.8100178890876565,0.8259587020648967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7661080520413315
cnn3_avg_drop_128_7_l256_s1_d4_30_e300_glove840_trainable_m_/r_/cnn3_avg_drop_128_7_l256_s1_d4_30_e300_glove840_trainable__max_balanced_0_1_1_new,0.7017828200972447,0.8009967960128159,0.7149006622516556,0.7586788001348164,0.8078871201157742,0.8339892665474061,0.783677482792527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7717018497074628
cnn3_avg_drop_128_7_l256_s1_d4_20_e300_glove840_trainable_m_/r_/cnn3_avg_drop_128_7_l256_s1_d4_20_e300_glove840_trainable__max_balanced_0_1_1_new,0.6859805510534847,0.785688857244571,0.6463576158940397,0.6973373778227165,0.8165701881331404,0.8429338103756708,0.7708947885939036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7493947413025038
cnn3_avg_drop_128_7_l256_s1_d4_10_e300_glove840_trainable_m_/r_/cnn3_avg_drop_128_7_l256_s1_d4_10_e300_glove840_trainable__max_balanced_0_1_1_new,0.6819286871961102,0.7205411178355287,0.6456953642384106,0.7421638018200202,0.8107814761215629,0.7513416815742398,0.8185840707964602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7387194570831903
cnn3_avg_drop_128_7_l128_s1_d4_5_e300_glove840_trainable_m_/r_/cnn3_avg_drop_128_7_l128_s1_d4_5_e300_glove840_trainable__max_balanced_0_1_1_new,0.7094813614262561,0.7059451762192951,0.6579470198675497,0.6959892146949781,0.7912445730824892,0.7831842576028623,0.7536873156342183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7282112740753784
cnn3_avg_drop_128_7_l128_s1_d4_30_e300_glove840_trainable_m_/r_/cnn3_avg_drop_128_7_l128_s1_d4_30_e300_glove840_trainable__max_balanced_0_1_1_new,0.649513776337115,0.7839088643645425,0.6384105960264901,0.726659925851028,0.7973950795947902,0.7502683363148479,0.7354965585054081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7259504481420317
cnn3_avg_drop_128_7_l128_s1_d4_20_e300_glove840_trainable_m_/r_/cnn3_avg_drop_128_7_l128_s1_d4_20_e300_glove840_trainable__max_balanced_0_1_1_new,0.6106158833063209,0.7767888928444286,0.676158940397351,0.7451971688574317,0.7923299565846599,0.7971377459749552,0.7689282202556539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7381652583172572
cnn3_avg_drop_128_7_l128_s1_d4_10_e300_glove840_trainable_m_/r_/cnn3_avg_drop_128_7_l128_s1_d4_10_e300_glove840_trainable__max_balanced_0_1_1_new,0.6762560777957861,0.7735849056603774,0.6155629139072848,0.7529491068419278,0.7814761215629522,0.7559928443649374,0.7999016715830876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7365319488166219
